array_id,avg_samp_frac,true_corr_uz1,true_corr_z1z2,is_u_latent,true_mean_y,n_sim,pop_size,seed,true_log_or_samp_z2,true_log_or_samp_y,true_baseline_log_odds_samp,sim_id,mean_y,var_y,bar_s,AUC_selection,pR2_selection,CV_selection,RInd,mean_yhat,n_samp,mean_yhat_samp,var_yhat_samp,cor_yhaty_samp,mean_y_samp,var_y_samp,cor_yinv_propensity_samp,var_inv_propensity_samp,FMI,SMUB0,SMUB50,SMUB100,eb,steb
618,0.05,0.25,0,FALSE,0,167,1e4,618,0.025,0.075,NA,1,0.012248118258844263,1.0995260726687759,0.0479,0.5299247307183177,0.0012186438427040501,0.0880969392865265,0.9915603132161871,0.09111911148536604,479,0.11278895415177222,0.08734900084213221,0.2819604086788554,0.11278895415177226,1.098706462093413,-0.24329075997990954,3.721454799329937,0.9425225691021945,0.020673543332876503,0.07332073119677969,0.2600391010224766,0.10054083589292799,0.0958825831118895
618,0.05,0.25,0,FALSE,0,167,1e4,618,0.025,0.075,NA,2,0.01750648505357151,1.0759857832550628,0.0458,0.5052467418235537,2.2459047977347883e-4,0.03813697426735718,0.99650665315711,0.1254639883967923,458,0.13710769688338578,0.09310781727934804,0.29032290034007263,0.13710769688338592,1.1046471030569482,-0.2883809664751816,0.6849340116195809,0.9525250792036395,0.011078463849434774,0.03815911123944375,0.13143679397920627,0.11960121182981441,0.11530079811102914
618,0.05,0.25,0,FALSE,0,167,1e4,618,0.025,0.075,NA,3,0.00691160971861762,1.0525664211051848,0.0476,0.5254408147131175,9.727524978812851e-4,0.07884713258902896,0.9924937529774633,0.07635889452419074,476,0.08213042361237156,0.08065040989461593,0.27645032892400606,0.08213042361237152,1.0552912980741789,-0.07069829734680479,2.487488704605977,0.941023877639681,0.005618297216801323,0.02032298980677193,0.0735140735258758,0.0752188138937539,0.0733165001672539
618,0.05,0.25,0,FALSE,0,167,1e4,618,0.025,0.075,NA,4,0.005996962582816118,1.062849814632009,0.052,0.5183615303472898,4.701799915113369e-4,0.05367342422666256,0.9944179638804251,0.02797735059614294,520,0.03907210989494007,0.045919083636322876,0.21227850145699417,0.03907210989494001,1.0190164300607052,-0.20901107488883516,1.1207102004038825,0.9387665427980049,0.010990749040819328,0.051775139570815,0.24390194586569663,0.033075147312123895,0.032082325191618404
618,0.05,0.25,0,FALSE,0,167,1e4,618,0.025,0.075,NA,5,0.009424579868053218,1.0597133223888413,0.0525,0.5319663274280688,0.0014950394559657446,0.09554981050739335,0.9899672698963586,0.07048708923009936,525,0.061645217156284085,0.03480842102615101,0.1813693195365235,0.06164521715628408,1.0581730002248737,0.08653341666468457,2.986265718904995,0.9486254357196606,-0.0085953959831379,-0.04739167575366566,-0.26129929733855617,0.052220637288230856,0.0507280268972724
618,0.05,0.25,0,FALSE,0,167,1e4,618,0.025,0.075,NA,6,-0.01049339223462173,1.0671631070207295,0.0528,0.5267366976351351,0.0014375474701140037,0.09359444571431948,0.9901164265322668,0.08412343093873777,528,0.10121554559915719,0.06200336415738973,0.2427839778250262,0.10121554559915717,1.051901824791707,-0.16998178011418993,2.9169846552824383,0.9461332328302986,0.016665110333764513,0.0686417220899767,0.2827275617810604,0.1117089378337789,0.10813655282078347
618,0.05,0.25,0,FALSE,0,167,1e4,618,0.025,0.075,NA,7,0.004217964893248516,1.0506690869972546,0.0476,0.5148077920794525,4.5883911587012345e-4,0.05407373729362443,0.9948521802096449,0.16744363675539808,476,0.17750650776521945,0.046813943906466746,0.22279134804196934,0.17750650776521953,0.9431452630706885,-0.17766861700148615,1.1729194409052985,0.9581584322993565,0.01036173811974904,0.04650870965508544,0.20875455920453495,0.173288542871971,0.16905844601379344
618,0.05,0.25,0,FALSE,0,167,1e4,618,0.025,0.075,NA,8,-0.0030305275275194507,1.0834007563002692,0.0527,0.5121411678172119,3.79895205926685e-4,0.04807819013037643,0.9949325587602575,0.06198570542432021,527,0.06772216410194228,0.07492338392195302,0.25029018452803864,0.06772216410194218,1.1959960549642918,-0.10023744500645262,0.7682614211723666,0.9394622648427241,0.005245404638357499,0.020957292625152404,0.08373197960068096,0.07075269162946163,0.06797487209516076
618,0.05,0.25,0,FALSE,0,167,1e4,618,0.025,0.075,NA,9,0.02837853281664139,1.06243062824862,0.0502,0.5226328839202047,0.0010090064689669712,0.07933586419077916,0.99203467923518,0.08262555518411213,502,0.07793074398965351,0.08654118935426831,0.274302693751966,0.0779307439896535,1.150171797536984,0.057036281601377886,2.3413513777883415,0.9497049990238827,-0.00437760704129912,-0.015959037738278663,-0.05818039013758056,0.0495522111730121,0.04807427547093841
618,0.05,0.25,0,FALSE,0,167,1e4,618,0.025,0.075,NA,10,-0.001996050763236742,1.1019111899949356,0.0556,0.5135175849155491,3.059915711326755e-4,0.042612345999094046,0.9952615071249005,0.04481481539063817,556,0.048883225344134626,0.04039816411613083,0.18805268298483196,0.048883225344134605,1.142358878009022,-0.08455538357598581,0.6365595065374342,0.9339220208356059,0.00380647890684541,0.020241555964146677,0.10763768770998777,0.05087927610737135,0.04846939814219535
618,0.05,0.25,0,FALSE,0,167,1e4,618,0.025,0.075,NA,11,-0.004783175698698667,1.0564509758273135,0.0524,0.5071688741988599,1.0764174567124645e-4,0.025620822453171908,0.9973149378069076,0.09418757092138756,524,0.10002312735077573,0.07144792702728239,0.2811295951412873,0.10002312735077575,0.9040167939732632,-0.22788518965834428,0.24243044066325706,0.9576474630757686,0.006137535593919425,0.021831695061613428,0.07765705012537535,0.10480630304947441,0.10196772446521438
