array_id,avg_samp_frac,true_corr_uz1,true_corr_z1z2,is_u_latent,true_mean_y,n_sim,pop_size,seed,true_log_or_samp_z2,true_log_or_samp_y,true_baseline_log_odds_samp,sim_id,mean_y,var_y,bar_s,AUC_selection,pR2_selection,CV_selection,RInd,mean_yhat,n_samp,mean_yhat_samp,var_yhat_samp,cor_yhaty_samp,mean_y_samp,var_y_samp,cor_yinv_propensity_samp,var_inv_propensity_samp,FMI,SMUB0,SMUB50,SMUB100,eb,steb
925,0.25,0.75,1,FALSE,0,278,1e4,925,0.4,0,NA,24,0.008575330570751043,2.2415417168564367,0.2553,0.6133530585717343,0.04417219433136895,0.298686857871091,0.8474904903710205,0.0010509462926432598,2553,0.3344694464154497,1.3006385729473682,0.7554659649534434,0.33446944641545034,2.278908157063174,-0.7203049095630067,1.630881655340498,0.5412964090909099,0.22086468593376682,0.2923555741487016,0.3869870883815638,0.3258941158446993,0.2176722699556288
925,0.25,0.75,1,FALSE,0,278,1e4,925,0.4,0,NA,25,-0.008396097424342153,2.3151089835408585,0.2415,0.6049501099342033,0.038389443328728685,0.2866290788700136,0.8615581549057831,-0.0065195594426497696,2415,0.3158350843198689,1.2496337635407366,0.7464210867751391,0.31583508431986884,2.242926028789462,-0.71272896071203,1.5215032791305902,0.552933405478814,0.2152417208174386,0.28836500553243427,0.3863301970450694,0.324231181744211,0.21309293891544817
925,0.25,0.75,1,FALSE,0,278,1e4,925,0.4,0,NA,26,0.014304327846155563,2.3083043825553204,0.2462,0.5990104779703765,0.03314748869002147,0.2632382327329466,0.870381494202297,0.009536936554628738,2462,0.3078064785982749,1.3187230695126784,0.7483021044614631,0.30780647859827526,2.355047497286708,-0.7191824151554402,1.318956154079204,0.6550988207320918,0.1943609764031403,0.25973597460749853,0.3471004198156371,0.2935021507521197,0.19318115129815489
925,0.25,0.75,1,FALSE,0,278,1e4,925,0.4,0,NA,27,-4.1501354561752695e-4,2.2976368613118137,0.2497,0.600908348448099,0.03565687830953311,0.27135487623922894,0.864485374806129,-0.00906103974487356,2497,0.2948325652032233,1.2598616918904815,0.746195138697295,0.2948325652032233,2.2626534387401356,-0.7177321064040928,1.2697009482282524,0.593324406027398,0.20202845426201288,0.2707448009038406,0.3628337774707377,0.29524757874884083,0.19478057776874866
925,0.25,0.75,1,FALSE,0,278,1e4,925,0.4,0,NA,28,0.016636148363128662,2.318294415494333,0.2443,0.6151553013579264,0.045693229279094194,0.310930016204221,0.848079594082616,0.026411821341450394,2443,0.38291252044980195,1.3216415648219637,0.763660794031224,0.3829125204498025,2.2662754753701644,-0.724842902590156,1.896637038628975,0.6805560070485966,0.2368121803021182,0.3101012676741339,0.40607200225268425,0.36627637208667385,0.2405606615332202
925,0.25,0.75,1,FALSE,0,278,1e4,925,0.4,0,NA,29,0.01803346336918222,2.303813095883217,0.25,0.6124263733333334,0.042717516356416046,0.2966372491044001,0.8516813754477993,0.01700042029163463,2500,0.3495822995633557,1.2146508904052575,0.7403362210187926,0.3495822995633558,2.2161210414587287,-0.7044987831045921,1.5550155663655756,0.6476112287522774,0.22340960687548997,0.30176776514872017,0.4076090789309903,0.3315488361941736,0.21843583468280414
925,0.25,0.75,1,FALSE,0,278,1e4,925,0.4,0,NA,30,0.020503906505158914,2.2982357685931265,0.255,0.613123200421108,0.0435772985911264,0.2963409879788418,0.8488660961307901,0.03086452809694329,2550,0.3595027331303863,1.1677183025505418,0.7256294408468364,0.3595027331303854,2.2177280900980016,-0.7035923758468132,1.452114926274499,0.6117823744019038,0.2206804704910035,0.30412281816110054,0.41911587518579446,0.33899882662522646,0.22361498596836188
925,0.25,0.75,1,FALSE,0,278,1e4,925,0.4,0,NA,31,0.024194648264245555,2.318459906273969,0.2489,0.6096849035503252,0.042138780476420175,0.2958362618404699,0.8527327088558136,0.019515813843831914,2489,0.36035166042337413,1.3360553948178229,0.7691197470942613,0.36035166042337324,2.2585855279700637,-0.7346701825725761,1.5816476400836201,0.5075056295201932,0.22679161508985363,0.2948716580827285,0.3833884894995288,0.3361570121591277,0.22077118055509604
925,0.25,0.75,1,FALSE,0,278,1e4,925,0.4,0,NA,32,-0.006051078009791688,2.340638606638822,0.2499,0.6105790403082977,0.04187053416791204,0.29399001788438756,0.8530637890613827,0.004294349916686082,2499,0.34220150940722954,1.3207065329542869,0.7449758609915728,0.3422015094072288,2.3796984324540666,-0.7212352188774418,1.560296624860448,0.5944262834455856,0.2190465570272292,0.29403175122436226,0.3946862799460403,0.34825258741702053,0.22762877948843638
925,0.25,0.75,1,FALSE,0,278,1e4,925,0.4,0,NA,33,0.0019353829040459256,2.3015292206064846,0.2505,0.6077840583010097,0.04112622278888713,0.29098574996891324,0.8542161392655742,-0.0015291570432804642,2505,0.333405914595714,1.3002641232492635,0.7527789642189765,0.33340591459571356,2.2945452702048135,-0.7251426072166743,1.4156577333736378,0.48285535871978286,0.22111199873846124,0.2937276534658078,0.39019110180709715,0.3314705316916676,0.2184925726633709
925,0.25,0.75,1,FALSE,0,278,1e4,925,0.4,0,NA,34,-0.00640966076858292,2.252570860040154,0.2482,0.608794225580337,0.04043926860281442,0.29019671563730925,0.8559463503576394,-0.01793762309293302,2482,0.30716062029231134,1.2525022603200746,0.7500907743550427,0.30716062029231095,2.2261317839313697,-0.7241286547217833,1.478421313003877,0.5608807304036266,0.2178909476252616,0.29048610524854507,0.38726793500202206,0.31357028106089385,0.2089275273541408
925,0.25,0.75,1,FALSE,0,278,1e4,925,0.4,0,NA,35,0.011032043045914706,2.287033649946701,0.2536,0.6091732693374042,0.04247264601899184,0.2936681680259179,0.851051505177254,-0.02532745928589209,2536,0.3141502672627153,1.3429852110234974,0.7550158721256663,0.31415026726271505,2.3559120152613,-0.7300594267213977,1.4653112677430906,0.5190060181591476,0.22117281807124733,0.29293797155357665,0.38798915674294526,0.30311822421680035,0.2004360201023366
925,0.25,0.75,1,FALSE,0,278,1e4,925,0.4,0,NA,36,0.011692563215647801,2.3231727880393866,0.2484,0.6114749886233041,0.04467522616488004,0.3050893512723346,0.8484316102879035,0.0017708900076514108,2484,0.35060106543076486,1.3444375714992403,0.760257412250044,0.350601065430764,2.3260514388642832,-0.7250760792258725,1.6766495054098487,0.4468703169771483,0.22872012993470142,0.3008456428695453,0.3957155011210848,0.3389085022151162,0.2223523419807411
