FINALVOTE_STATE_WEIGHT,state,male,age1,age2,age3,age4,age5,age6,hsless,somecoll,coll,postcoll,white,black,hisp,other,lib,noideo,demparty
0.1448047182,AZ,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0
0.0784593397,AZ,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0
3.7585882922,AZ,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0
0.9344543754,AZ,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0
0.3426927119,AZ,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1
3.7120570054,AZ,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,1
1.1240603894,AZ,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0
0.3781675433,AZ,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1
4.5693084131,AZ,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0
1.1073370335,AZ,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1
0.1539946301,AZ,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
0.3118351742,AZ,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1
0.4480851391,AZ,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1
0.2240676748,AZ,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1
0.2497984245,AZ,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0
4.2316746248,AZ,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0
0.611738845,AZ,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1
3.0768478025,AZ,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1
0.1343143366,AZ,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,1
3.7946119507,AZ,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
1.0618539019,AZ,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1
0.2329958054,AZ,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1
0.1067229476,AZ,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0
0.4379158203,AZ,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1
0.0714714976,AZ,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1
0.1655007211,AZ,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0
0.2764963132,AZ,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0
0.1512675486,AZ,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1
0.4060460461,AZ,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1
0.6620763166,AZ,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
1.0753867225,AZ,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1
0.1974147543,AZ,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1
0.3835177764,AZ,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1
0.1328705181,AZ,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1
0.4620106812,AZ,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0
0.0714714976,AZ,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1
1.4263394297,AZ,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1
0.2398341328,AZ,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1
0.2193306558,AZ,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0
0.0608411913,AZ,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1
0.3019154513,AZ,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0
0.3558856685,AZ,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1
4.1078143396,AZ,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
0.1655007211,AZ,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0
0.7786230413,AZ,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
0.4439535007,AZ,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0
0.9448316182,AZ,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1
0.4855433813,AZ,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0
1.4675467594,AZ,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
2.16383361,AZ,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
2.241085717,AZ,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
0.1280211047,AZ,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1
0.0736997279,AZ,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0
3.4705495656,AZ,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0
0.1032334609,AZ,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1
0.1378637525,AZ,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0
0.7611734041,AZ,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1
0.1461836462,AZ,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0
3.8168459663,AZ,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
0.1774021502,AZ,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0
0.1250828312,AZ,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0
0.4157099966,AZ,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1
0.2402726768,AZ,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1
0.916769136,AZ,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1
0.5282267937,AZ,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1
2.4083756595,AZ,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1
2.3538549869,AZ,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0
0.2615009171,AZ,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0
0.4392906035,AZ,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1
0.1954851677,AZ,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1
3.4440124349,AZ,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1
3.0504199855,AZ,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1
0.1083061146,AZ,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0
1.7984930706,AZ,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0
0.6411809448,AZ,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1
0.2193306558,AZ,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0
3.7597346371,AZ,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1
2.1917164467,AZ,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
2.6761359561,AZ,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0
0.2192748183,AZ,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0
0.665704986,AZ,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1
1.4562371673,AZ,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0
1.3413905395,AZ,1,,,,,,,0,0,1,0,0,0,0,1,0,0,0
0.1420864406,AZ,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1
0.1766424797,AZ,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1
0.1352409,AZ,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
0.1640448003,AZ,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1
0.1184635898,AZ,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1
0.1753041536,AZ,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1
0.2524086471,AZ,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
0.0923995482,AZ,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1
3.4563595597,AZ,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1
1.5298659576,AZ,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1
0.3807221179,AZ,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1
0.9876804105,AZ,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1
0.1368106588,AZ,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1
0.9733746646,AZ,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0
0.1768711092,AZ,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1
0.0770596998,AZ,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1
0.151330934,AZ,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0
0.2617340451,AZ,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1
3.4630862284,AZ,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0
1.8880884052,AZ,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1
4.4270104351,AZ,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1
0.6311448609,AZ,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
0.3309857046,AZ,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0
0.7104370303,AZ,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1
0.0943839733,AZ,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0
0.138651127,AZ,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0
3.7585882922,AZ,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
0.3882879394,AZ,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1
0.1630948318,AZ,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1
0.5106697258,AZ,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
1.5775453845,AZ,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1
0.519535463,AZ,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1
0.123786358,AZ,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1
0.5749221321,AZ,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,1
0.1888602991,AZ,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1
0.1091447772,AZ,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1
0.3016281406,AZ,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1
0.0694131218,AZ,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1
0.3283800438,AZ,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1
0.6449307378,AZ,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1
0.1032334609,AZ,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1
0.3426927119,AZ,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1
0.2193306558,AZ,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0
3.8767281872,AZ,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
0.3602052208,AZ,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0
3.0981209265,AZ,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1
0.1768711092,AZ,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1
0.0663890424,AZ,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1
