type,state,variable,level,likely,Frequency,WgtFreq,pct,pctSE,pctLB,pctUB
ABC Unweighted,FL,hsless,0,1,620,,0.7506053269,0.0150632925,0.7210388566,0.7801717972
ABC Unweighted,FL,hsless,1,1,206,,0.2493946731,0.0150632925,0.2198282028,0.2789611434
ABC Unweighted,FL,somecoll,0,1,586,,0.7094430993,0.0158068336,0.6784171945,0.740469004
ABC Unweighted,FL,somecoll,1,1,240,,0.2905569007,0.0158068336,0.259530996,0.3215828055
ABC Unweighted,FL,coll,0,1,596,,0.7215496368,0.0156054933,0.6909189261,0.7521803475
ABC Unweighted,FL,coll,1,1,230,,0.2784503632,0.0156054933,0.2478196525,0.3090810739
ABC Unweighted,FL,postcoll,0,1,677,,0.8196125908,0.0133868354,0.7933366972,0.8458884844
ABC Unweighted,FL,postcoll,1,1,149,,0.1803874092,0.0133868354,0.1541115156,0.2066633028
ABC Unweighted,FL,white,0,1,278,,0.3365617433,0.0164514102,0.3042706535,0.3688528332
ABC Unweighted,FL,white,1,1,548,,0.6634382567,0.0164514102,0.6311471668,0.6957293465
ABC Unweighted,FL,black,0,1,742,,0.8983050847,0.0105228178,0.8776507305,0.918959439
ABC Unweighted,FL,black,1,1,84,,0.1016949153,0.0105228178,0.081040561,0.1223492695
ABC Unweighted,FL,hisp,0,1,687,,0.8317191283,0.0130249547,0.8061535398,0.8572847168
ABC Unweighted,FL,hisp,1,1,139,,0.1682808717,0.0130249547,0.1427152832,0.1938464602
ABC Unweighted,FL,other,0,1,777,,0.9406779661,0.0082243011,0.9245351769,0.9568207553
ABC Unweighted,FL,other,1,1,49,,0.0593220339,0.0082243011,0.0431792447,0.0754648231
ABC Unweighted,FL,lib,0,1,677,,0.8196125908,0.0133868354,0.7933366972,0.8458884844
ABC Unweighted,FL,lib,1,1,149,,0.1803874092,0.0133868354,0.1541115156,0.2066633028
ABC Unweighted,FL,noideo,0,1,793,,0.9600484262,0.0068184242,0.9466651146,0.9734317377
ABC Unweighted,FL,noideo,1,1,33,,0.0399515738,0.0068184242,0.0265682623,0.0533348854
ABC Unweighted,FL,demparty,0,1,488,,0.5907990315,0.0171182244,0.5571991081,0.6243989548
ABC Unweighted,FL,demparty,1,1,338,,0.4092009685,0.0171182244,0.3756010452,0.4428008919
ABC Unweighted,MI,trumpind,0,1,433,,0.5481012658,0.0177177963,0.5133222073,0.5828803243
ABC Unweighted,MI,trumpind,1,1,357,,0.4518987342,0.0177177963,0.4171196757,0.4866777927
ABC Unweighted,MI,male,0,1,380,,0.4810126582,0.0177875189,0.4460967381,0.5159285784
ABC Unweighted,MI,male,1,1,410,,0.5189873418,0.0177875189,0.4840714216,0.5539032619
ABC Unweighted,MI,age1,0,1,725,,0.917721519,0.0097826683,0.8985186797,0.9369243582
ABC Unweighted,MI,age1,1,1,65,,0.082278481,0.0097826683,0.0630756418,0.1014813203
ABC Unweighted,MI,age2,0,1,765,,0.9683544304,0.0062320707,0.9561212188,0.9805876419
ABC Unweighted,MI,age2,1,1,25,,0.0316455696,0.0062320707,0.0194123581,0.0438787812
ABC Unweighted,MI,age3,0,1,711,,0.9,0.010680215,0.8790353261,0.9209646739
ABC Unweighted,MI,age3,1,1,79,,0.1,0.010680215,0.0790353261,0.1209646739
ABC Unweighted,MI,age4,0,1,675,,0.8544303797,0.012555455,0.829784713,0.8790760465
ABC Unweighted,MI,age4,1,1,115,,0.1455696203,0.012555455,0.1209239535,0.170215287
ABC Unweighted,MI,age5,0,1,559,,0.7075949367,0.016193605,0.6758077818,0.7393820916
ABC Unweighted,MI,age5,1,1,231,,0.2924050633,0.016193605,0.2606179084,0.3241922182
ABC Unweighted,MI,age6,0,1,515,,0.6518987342,0.0169590535,0.6186090461,0.6851884223
ABC Unweighted,MI,age6,1,1,275,,0.3481012658,0.0169590535,0.3148115777,0.3813909539
ABC Unweighted,MI,hsless,0,1,562,,0.7113924051,0.0161312206,0.6797277074,0.7430571027
ABC Unweighted,MI,hsless,1,1,228,,0.2886075949,0.0161312206,0.2569428973,0.3202722926
ABC Unweighted,MI,somecoll,0,1,548,,0.6936708861,0.0164107946,0.6614573999,0.7258843722
ABC Unweighted,MI,somecoll,1,1,242,,0.3063291139,0.0164107946,0.2741156278,0.3385426001
ABC Unweighted,MI,coll,0,1,615,,0.7784810127,0.0147838732,0.7494610836,0.8075009417
ABC Unweighted,MI,coll,1,1,175,,0.2215189873,0.0147838732,0.1924990583,0.2505389164
ABC Unweighted,MI,postcoll,0,1,645,,0.8164556962,0.0137814688,0.7894034318,0.8435079606
ABC Unweighted,MI,postcoll,1,1,145,,0.1835443038,0.0137814688,0.1564920394,0.2105965682
ABC Unweighted,MI,white,0,1,165,,0.2088607595,0.0144715027,0.1804539967,0.2372675223
ABC Unweighted,MI,white,1,1,625,,0.7911392405,0.0144715027,0.7627324777,0.8195460033
ABC Unweighted,MI,black,0,1,706,,0.8936708861,0.0109742195,0.8721290975,0.9152126746
ABC Unweighted,MI,black,1,1,84,,0.1063291139,0.0109742195,0.0847873254,0.1278709025
ABC Unweighted,MI,hisp,0,1,764,,0.9670886076,0.0063513347,0.9546212873,0.9795559279
ABC Unweighted,MI,hisp,1,1,26,,0.0329113924,0.0063513347,0.0204440721,0.0453787127
ABC Unweighted,MI,other,0,1,744,,0.9417721519,0.0083367549,0.9254075612,0.9581367426
ABC Unweighted,MI,other,1,1,46,,0.0582278481,0.0083367549,0.0418632574,0.0745924388
ABC Unweighted,MI,lib,0,1,612,,0.7746835443,0.0148736432,0.7454874017,0.803879687
ABC Unweighted,MI,lib,1,1,178,,0.2253164557,0.0148736432,0.196120313,0.2545125983
ABC Unweighted,MI,noideo,0,1,759,,0.9607594937,0.006912472,0.9471906918,0.9743282955
ABC Unweighted,MI,noideo,1,1,31,,0.0392405063,0.006912472,0.0256717045,0.0528093082
ABC Unweighted,MI,demparty,0,1,421,,0.5329113924,0.0177617552,0.4980460451,0.5677767397
ABC Unweighted,MI,demparty,1,1,369,,0.4670886076,0.0177617552,0.4322232603,0.5019539549
ABC Unweighted,MN,trumpind,0,1,391,,0.595129376,0.0191650477,0.5574975624,0.6327611895
ABC Unweighted,MN,trumpind,1,1,266,,0.404870624,0.0191650477,0.3672388105,0.4425024376
ABC Unweighted,MN,male,0,1,292,,0.4444444444,0.0194007521,0.4063498101,0.4825390787
ABC Unweighted,MN,male,1,1,365,,0.5555555556,0.0194007521,0.5174609213,0.5936501899
ABC Unweighted,MN,age1,0,1,614,,0.9345509893,0.0096560414,0.915590726,0.9535112527
ABC Unweighted,MN,age1,1,1,43,,0.0654490107,0.0096560414,0.0464887473,0.084409274
ABC Unweighted,MN,age2,0,1,633,,0.9634703196,0.007324672,0.9490878513,0.977852788
ABC Unweighted,MN,age2,1,1,24,,0.0365296804,0.007324672,0.022147212,0.0509121487
ABC Unweighted,MN,age3,0,1,583,,0.8873668189,0.0123432875,0.8631299737,0.911603664
ABC Unweighted,MN,age3,1,1,74,,0.1126331811,0.0123432875,0.088396336,0.1368700263
