state,weight,likely,male,age1,age2,age3,age4,age5,age6,hsless,somecoll,coll,postcoll,white,black,hisp,other
AK,562.1044,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0
AK,597.8819,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0
AK,512.6819,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0
AK,563.2025,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0
AK,412.8367,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1
AK,477.5417,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1
AK,561.5539,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0
AK,583.4418,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
AK,571.5093,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0
AK,587.5669,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0
AK,524.9776,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
AK,471.1168,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0
AK,694.2594,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0
AK,422.0707,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
AK,530.1539,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0
AK,599.1679,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
AK,598.559,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
AK,414.3264,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0
AK,462.3243,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
AK,524.9776,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
AK,587.5669,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0
AK,592.6362,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
AK,570.4628,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0
AK,552.4382,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
AK,535.9996,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0
AK,546.9396,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0
AK,612.8857,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0
AK,590.6947,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0
AK,462.3243,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
AK,577.8111,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0
AK,624.679,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0
AK,587.2363,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1
AK,412.0752,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0
AK,411.8501,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
AK,571.8391,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0
AK,578.2874,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1
AK,575.8455,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0
AK,506.31,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
AK,499.83,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
AK,578.4135,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0
AK,521.1403,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0
AK,468.2782,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
AK,855.5941,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0
